Category,Name,Link,Attempt Number,Time Spent
Advanced Graphs,Swim in Rising Water,https://leetcode.com/problems/swim-in-rising-water/,0,0
Advanced Graphs,Alien Dictionary,https://leetcode.com/problems/alien-dictionary/,0,0
Advanced Graphs,Cheapest Flights with K Stops,https://leetcode.com/problems/cheapest-flights-within-k-stops/,0,0
1-D Dynamic Programming,Climbing Stairs,https://leetcode.com/problems/climbing-stairs/,0,0
1-D Dynamic Programming,Min Cost Climbing Stairs,https://leetcode.com/problems/min-cost-climbing-stairs/,0,0
1-D Dynamic Programming,House Robber,https://leetcode.com/problems/house-robber/,0,0
1-D Dynamic Programming,House Robber II,https://leetcode.com/problems/house-robber-ii/,0,0
1-D Dynamic Programming,Longest Palindroming Substring,https://leetcode.com/problems/longest-palindromic-substring/,0,0
1-D Dynamic Programming,Palindrome Substrings,https://leetcode.com/problems/palindromic-substrings/,0,0
1-D Dynamic Programming,Decode Ways,https://leetcode.com/problems/decode-ways/,0,0
1-D Dynamic Programming,Coin Change,https://leetcode.com/problems/coin-change/,0,0
1-D Dynamic Programming,Maximum Product Subarray,https://leetcode.com/problems/maximum-product-subarray/,0,0
1-D Dynamic Programming,Word Break,https://leetcode.com/problems/word-break/,0,0
1-D Dynamic Programming,Longest Increasing Subsequence,https://leetcode.com/problems/longest-increasing-subsequence/,0,0
1-D Dynamic Programming,Partition Equal Subset Sum,https://leetcode.com/problems/partition-equal-subset-sum/,0,0
2-D Dynamic Programming,Unique Paths,https://leetcode.com/problems/unique-paths/,0,0
2-D Dynamic Programming,Longest Common Subsequence,https://leetcode.com/problems/longest-common-subsequence/,0,0
2-D Dynamic Programming,Best Time to Buy/Sell Stock With Cooldown,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-with-cooldown/,0,0
2-D Dynamic Programming,Coin Change II,https://leetcode.com/problems/coin-change-2/,0,0
2-D Dynamic Programming,Target SUm,https://leetcode.com/problems/target-sum/,0,0
2-D Dynamic Programming,Interleaving String,https://leetcode.com/problems/interleaving-string/,0,0
2-D Dynamic Programming,Longest Increasing Path in a Matrix,https://leetcode.com/problems/longest-increasing-path-in-a-matrix/,0,0
2-D Dynamic Programming,Distinct Subsequences,https://leetcode.com/problems/distinct-subsequences/,0,0
2-D Dynamic Programming,Edit Distance,https://leetcode.com/problems/edit-distance/,0,0
2-D Dynamic Programming,Burst Balloons,https://leetcode.com/problems/burst-balloons/,0,0
2-D Dynamic Programming,Regular Expression Matching,https://leetcode.com/problems/regular-expression-matching/,0,0
Greedy,Maximum Subarray,https://leetcode.com/problems/maximum-subarray/,0,0
Greedy,Jump Game,https://leetcode.com/problems/jump-game/,0,0
Greedy,Jump Game II,https://leetcode.com/problems/jump-game-ii/,0,0
Greedy,Gas Station,https://leetcode.com/problems/gas-station/,0,0
Greedy,Hand of Straights,https://leetcode.com/problems/hand-of-straights/,0,0
Greedy,Merge Triplets to Form Target Triplet,https://leetcode.com/problems/merge-triplets-to-form-target-triplet/,0,0
Greedy,Partition Labels,https://leetcode.com/problems/partition-labels/,0,0
Greedy,Valid Parenthesis String,https://leetcode.com/problems/valid-parenthesis-string/,0,0
Intervals,Insert Interval,https://leetcode.com/problems/insert-interval/,0,0
Intervals,Merge Intervals,https://leetcode.com/problems/merge-intervals/,0,0
Intervals,Non-Overlapping Intervals,https://leetcode.com/problems/non-overlapping-intervals/,0,0
Intervals,Meeting Rooms,https://leetcode.com/problems/meeting-rooms/,0,0
Intervals,Meeting Rooms II,https://leetcode.com/problems/meeting-rooms-ii/,0,0
Intervals,Minimum Interval to Include Each Query,https://leetcode.com/problems/minimum-interval-to-include-each-query/,0,0
Math & Geometry,Rotate Image,https://leetcode.com/problems/rotate-image/,0,0
Math & Geometry,Spiral Matrix,https://leetcode.com/problems/spiral-matrix/,0,0
Math & Geometry,Set Matrix Zeroes,https://leetcode.com/problems/set-matrix-zeroes/,0,0
Math & Geometry,Happy Number,https://leetcode.com/problems/happy-number/,0,0
Math & Geometry,Plus One,https://leetcode.com/problems/plus-one/,0,0
Math & Geometry,"Pow(x, n)",https://leetcode.com/problems/powx-n/,0,0
Math & Geometry,Multiply Strings,https://leetcode.com/problems/multiply-strings/,0,0
Math & Geometry,Detect Squares,https://leetcode.com/problems/detect-squares/,0,0
Bit Manipulation,Single Number,https://leetcode.com/problems/single-number/,0,0
Bit Manipulation,Number of 1 Bits,https://leetcode.com/problems/number-of-1-bits/,0,0
Bit Manipulation,Counting Bits,https://leetcode.com/problems/counting-bits/,0,0
Bit Manipulation,Reverse Bits,https://leetcode.com/problems/reverse-bits/,0,0
Bit Manipulation,Missing Number,https://leetcode.com/problems/missing-number/,0,0
Bit Manipulation,Sum of Two Integers,https://leetcode.com/problems/sum-of-two-integers/,0,0
Bit Manipulation,Reverse Integer,https://leetcode.com/problems/reverse-integer/,0,0
